0.0 100.0
1 [0.06265096, 0.14026003, 0.21398362, 0.05718577, 0.46608476, 0.05983486] 0
2 [0.13002235, 0.11156435, 0.29426241, 0.05193421, 0.35370905, 0.05850764] 0
3 [0.2089498, 0.03865523, 0.44833776, 0.13932062, 0.06987721, 0.09485938] 0
4 [0.47465028, 0.06794631, 0.20082636, 0.07272254, 0.06809685, 0.11575767] 0
5 [0.50049782, 0.06570097, 0.16703175, 0.07766241, 0.06993753, 0.11916951] 0
8 [0.18677438, 0.12654543, 0.14934594, 0.24140661, 0.09371513, 0.20221251] 0
9 [0.30174173, 0.04978798, 0.17847634, 0.21872261, 0.13852378, 0.11274757] 0
13 [0.186238, 0.10185654, 0.24228527, 0.10404207, 0.2654882, 0.10008992] 0
15 [0.54463521, 0.08577325, 0.11291352, 0.05553742, 0.09256856, 0.10857205] 0
17 [0.28020769, 0.15254252, 0.13103713, 0.09651554, 0.12725415, 0.21244297] 0
18 [0.12254085, 0.03977667, 0.26393854, 0.3720316, 0.11244863, 0.0892637] 0
22 [0.0302346, 0.03211257, 0.07602124, 0.69541158, 0.07642812, 0.08979191] 0
24 [0.26685416, 0.05321013, 0.47483864, 0.05119814, 0.09243651, 0.06146243] 0
27 [0.45923218, 0.04315867, 0.29475675, 0.03900432, 0.08751144, 0.07633664] 0
28 [0.2665706, 0.04434339, 0.29361488, 0.08878757, 0.18775147, 0.11893208] 0
29 [0.34822437, 0.17893673, 0.2095389, 0.04237487, 0.12760579, 0.09331935] 0
31 [0.74534644, 0.04459617, 0.08401489, 0.04128419, 0.0511416, 0.03361671] 0
35 [0.72185397, 0.08660123, 0.07207254, 0.029964, 0.07365767, 0.01585059] 0
37 [0.4647422, 0.06399378, 0.21795062, 0.0382225, 0.13425201, 0.0808389] 0
39 [0.71833698, 0.08901632, 0.022669, 0.10222103, 0.01041282, 0.05734384] 0
42 [0.67996137, 0.05349719, 0.08239595, 0.04059682, 0.07533039, 0.06821828] 0
43 [0.65391795, 0.03279519, 0.1375993, 0.01457253, 0.04772893, 0.11338611] 0
44 [0.68656887, 0.05588609, 0.07304865, 0.05252311, 0.06625999, 0.06571328] 0
45 [0.66129525, 0.06303611, 0.09521463, 0.09624356, 0.08022577, 0.00398467] 0
47 [0.27731456, 0.09925388, 0.27207545, 0.06856308, 0.14909332, 0.1336997] 0
52 [0.14345825, 0.03734437, 0.24484391, 0.16918637, 0.09043181, 0.3147353] 0
56 [0.21674037, 0.07444179, 0.30507408, 0.17318772, 0.16236279, 0.06819324] 0
57 [0.66592164, 0.04509398, 0.09604365, 0.03852492, 0.08416079, 0.07025503] 0
61 [0.22624581, 0.04170517, 0.05144758, 0.11774688, 0.04350228, 0.51935228] 0
64 [0.45069058, 0.17042769, 0.07347847, 0.04477359, 0.0858903, 0.17473937] 0
65 [0.65875078, 0.04486, 0.10410611, 0.06442386, 0.06447492, 0.06338433] 0
66 [0.30016589, 0.09719887, 0.28013811, 0.03755005, 0.15495857, 0.1299885] 0
72 [0.19504579, 0.08032213, 0.13877873, 0.22838835, 0.05618356, 0.30128144] 0
74 [0.28906807, 0.06202652, 0.10689847, 0.05386706, 0.07134764, 0.41679224] 0
75 [0.39722329, 0.16353201, 0.07833994, 0.06151695, 0.1164791, 0.1829087] 0
79 [0.22636647, 0.05578374, 0.13673837, 0.14455499, 0.0751762, 0.36138024] 0
83 [0.20625537, 0.20796118, 0.11049931, 0.10846956, 0.13789489, 0.22891969] 0
84 [0.20485978, 0.07851117, 0.17130541, 0.10197961, 0.27213267, 0.17121136] 0
88 [0.07362719, 0.07137708, 0.07293807, 0.35744518, 0.07958701, 0.34502547] 0
89 [0.29516318, 0.24779342, 0.1103749, 0.11883904, 0.13993471, 0.08789474] 0
90 [0.4657447, 0.10765552, 0.10480471, 0.04998222, 0.12260316, 0.1492097] 0
93 [0.31881731, 0.0528824, 0.0663246, 0.1535363, 0.05160451, 0.35683488] 0
94 [0.16223118, 0.09520286, 0.08429003, 0.10118047, 0.14496448, 0.41213098] 0
97 [0.29336752, 0.0775649, 0.39499835, 0.05986498, 0.09431908, 0.07988518] 0
98 [0.0393295, 0.06177639, 0.14893965, 0.52312947, 0.05243684, 0.17438815] 0
100 [0.50928999, 0.08808505, 0.08300225, 0.03723473, 0.14459715, 0.13779083] 0
101 [0.3391788, 0.06009788, 0.21672613, 0.08919776, 0.11706869, 0.17773074] 0
102 [0.41988619, 0.05073279, 0.26455727, 0.04530927, 0.12734515, 0.09216933] 0
104 [0.66497199, 0.05439006, 0.07756969, 0.0392822, 0.06447383, 0.09931224] 0
105 [0.25367168, 0.36909139, 0.04110245, 0.06872586, 0.08983232, 0.1775763] 0
106 [0.15491534, 0.06922316, 0.10828326, 0.10780476, 0.05532538, 0.5044481] 0
107 [0.28187467, 0.09762988, 0.24931985, 0.04386042, 0.20805688, 0.1192583] 0
110 [0.59792305, 0.04057372, 0.17010502, 0.06138388, 0.06737918, 0.06263515] 0
112 [0.82396335, 0.00280736, 0.02849791, 0.04904554, 0.04042313, 0.05526271] 0
113 [0.05697018, 0.1342269, 0.09999217, 0.13343492, 0.19780271, 0.37757312] 0
114 [0.63149121, 0.11115144, 0.07156422, 0.08525124, 0.08502247, 0.01551942] 0
115 [0.54913925, 0.1298216, 0.04678666, 0.09290096, 0.08704121, 0.09431032] 0
117 [0.22867818, 0.22085925, 0.11045169, 0.11408593, 0.14392928, 0.18199568] 0
118 [0.78919689, 0.06680845, 0.0472389, 0.07704218, 0.00161244, 0.05061614] 0
119 [0.32049403, 0.12135859, 0.1265983, 0.1045409, 0.14510007, 0.1819081] 0
120 [0.38336658, 0.06734782, 0.17008447, 0.08457665, 0.12535574, 0.16926874] 0
127 [0.57415983, 0.05592537, 0.12049798, 0.03884618, 0.0649968, 0.14557385] 0
128 [0.09209392, 0.07717634, 0.47866759, 0.15216236, 0.05767781, 0.14222197] 0
131 [0.57017211, 0.0849327, 0.09119198, 0.03895841, 0.10226661, 0.11247819] 0
